\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
52;ID_42_m_puppet_ROUND_1_SUICIDE_TEXT;Привет, я - Мистер Лягушка. А как зовут тебя?;Привет. Я — Мистер Лягушка. А тебя как зовут? Присоединяйся к нам!;;;;;;;;;;;;;;;;;;;;;
53;ID_42_ROUND_1_GG_ANSWER_RESULT = next;Уилл.;Меня зовут Уилл.;;;;;;;;;;;;;;;;;;;;;
54;ID_42_ROUND_1_GG_ANSWER_RESULT = next;Мистер Мост.;А я — правая рука Уилла.;;;;;;;;;;;;;;;;;;;;;
55;ID_42_ROUND_1_GG_ANSWER_RESULT = next;...;Кто это произнес?;;;;;;;;;;;;;;;;;;;;;
56;ID_42_m_puppet_ROUND_2_SUICIDE_TEXT;Хорошо! Итак, сегодня, дети, мы будем учиться делать прыг-прыг!;Итак, мои лягушата, сегодня мы будем учиться делать «прыг-прыг»!;;;;;;;;;;;;;;;;;;;;;
57;ID_42_ROUND_2_GG_ANSWER_RESULT = suicide;Мне кажется не самый лучший урок.;Сколько тебе лет? Не поздновато ли играть в куклы?;;;;;;;;;;;;;;;;;;;;;
58;ID_42_ROUND_2_GG_ANSWER_RESULT = next;Это шоу?;Тут что, где-то камера скрыта?;;;;;;;;;;;;;;;;;;;;;
59;ID_42_ROUND_2_GG_ANSWER_RESULT = next;Ты даже не шевелишь губами!;Ого, ты даже не шевелишь губами!;;;;;;;;;;;;;;;;;;;;;
60;ID_42_m_puppet_ROUND_2_SUICIDE_ON_DIE;Почему меня все критикуют...;Никто не ценит мой талант...;;;;;;;;;;;;;;;;;;;;;
61;ID_42_m_puppet_ROUND_3_SUICIDE_TEXT;Что нам нужно, чтобы сделать прыг-прыг?;Что нам нужно, чтобы сделать  «прыг-прыг»?;;;;;;;;;;;;;;;;;;;;;
62;ID_42_ROUND_3_GG_ANSWER_RESULT = next;Мистер Лягушка, остановитесь пожалуйста.;Мистер Лягушка, подождите! Не делайте этого!;;;;;;;;;;;;;;;;;;;;;
63;ID_42_ROUND_3_GG_ANSWER_RESULT = next;Звучит глупо...;Что за бред?;;;;;;;;;;;;;;;;;;;;;
64;ID_42_ROUND_3_GG_ANSWER_RESULT = next;Что?;Я не понимаю, о чем вы.;;;;;;;;;;;;;;;;;;;;;
65;ID_42_m_puppet_ROUND_3_SUICIDE_ON_DIE;ЭЭЭЭЭЭЭЭЭЭЭЭЭЭ;Прыг-прыг! Вот так!;;;;;;;;;;;;;;;;;;;;;
66;ID_42_m_puppet_ROUND_4_SUICIDE_TEXT;Глупенький! Это просто! Нам нужна только затянувшаяся депрессия и разрушенная жизнь!;Ну конечно! Чтобы сделать «прыг-прыг», нам нужен один неудачник. И одна разрушенная жизнь. Все просто, детки!;;;;;;;;;;;;;;;;;;;;;
67;ID_42_ROUND_4_GG_ANSWER_RESULT = next;Как ты так разговаривашь? Это круто!;Как у тебя получается разговаривать, не открывая рта? Это очень круто!;;;;;;;;;;;;;;;;;;;;;
68;ID_42_ROUND_4_GG_ANSWER_RESULT = next;Вроде все правильно.;Да, пожалуй, рецепт правильный...;;;;;;;;;;;;;;;;;;;;;
69;ID_42_ROUND_4_GG_ANSWER_RESULT = suicide;Может лучше посмотрим мультики?;Мистер Лягушка, подумайте о детях, которые любят вас.;;;;;;;;;;;;;;;;;;;;;
70;ID_42_m_puppet_ROUND_4_SUICIDE_ON_DIE;На самом деле - меня бесят дети.;Если честно, эти хулиганы меня всегда обижали.;;;;;;;;;;;;;;;;;;;;;
71;ID_42_m_puppet_ROUND_5_SUICIDE_TEXT;Сегодня от нас ушла Миссис Лягушка. И нас уволили с работы...И маленькие лягушки не хотят с нами больше играть...;Сегодня от нас ушла Миссис Лягушка. А еще нас уволили с работы... И маленькие лягушата не хотят больше с нами играть.;;;;;;;;;;;;;;;;;;;;;
72;ID_42_ROUND_5_GG_ANSWER_RESULT = ;Ты все равно талантлив!;У тебя такой редкий талант! Может быть, тебе просто стоит сменить образ?;;;;;;;;;;;;;;;;;;;;;
73;ID_42_ROUND_5_GG_ANSWER_RESULT = suicide;Мне очень жаль...;У всех у нас бывают проблемы в жизни, Мистер Лягушка.;;;;;;;;;;;;;;;;;;;;;
74;ID_42_ROUND_5_GG_ANSWER_RESULT = ;Знаешь про 2 лягушки и молоко?;Не так уж просто быть лягушкой в нашем мире.;;;;;;;;;;;;;;;;;;;;;
75;ID_42_m_puppet_ROUND_5_SUICIDE_ON_DIE;И мне жаль...;Поэтому теперь мы сделаем «прыг-прыг».;;;;;;;;;;;;;;;;;;;;;
76;ID_42_m_puppet_ROUND_5SUICIDE_ON_GO_HOME;Тяжело быть лягушкой...Может мне сменить образ?;Ты прав, лягушкой быть действительно тяжело... Наверно, пора мне придумать что-нибудь новенькое.;;;;;;;;;;;;;;;;;;;;;
77;ID_30_f_o_ROUND_1_SUICIDE_TEXT;Что? Сынок, ты погромче говори, я глухая уже. ;Что ты там говоришь? Прости, я уже старая, ничего не слышу.;;;;;;;;;;;;;;;;;;;;;
78;ID_30_ROUND_1_GG_ANSWER_RESULT = next;Жизнь, говорю, прекрасна.;Я говорю, что жизнь прекрасна. Не делайте этого!;;;;;;;;;;;;;;;;;;;;;
79;ID_30_ROUND_1_GG_ANSWER_RESULT = next;Что ж ты старая, на мост залезла?;Я спрашиваю, зачем туда залезли?;;;;;;;;;;;;;;;;;;;;;
80;ID_30_ROUND_1_GG_ANSWER_RESULT = next;Вы не потерялись?;Бабуль, вы точно знаете, где вы?;;;;;;;;;;;;;;;;;;;;;
81;ID_30_f_o_ROUND_2_SUICIDE_TEXT;Ой, да ты чего, спасти хочешь? Да не надо, чего ты, уж пожила я.;А тебе-то что? Неужто хочешь помочь? Брось ты это дело, я уже достаточно пожила.;;;;;;;;;;;;;;;;;;;;;
82;ID_30_ROUND_2_GG_ANSWER_RESULT = next;Так поживи еще.;Но ведь можно пожить еще.;;;;;;;;;;;;;;;;;;;;;
83;ID_30_ROUND_2_GG_ANSWER_RESULT = next;Да, надо, бабуль.;Я уверен, что у вас еще есть ради чего жить.;;;;;;;;;;;;;;;;;;;;;
84;ID_30_ROUND_2_GG_ANSWER_RESULT = suicide;Почему ты здесь? Сериалы кончились?;Вы случайно не сбежали из дома престарелых?;;;;;;;;;;;;;;;;;;;;;
85;ID_30_f_o_ROUND_2_SUICIDE_ON_DIE;Дерзкий ты. Прощай.;Грубая пошла молодежь в наше время... Прощай.;;;;;;;;;;;;;;;;;;;;;
86;ID_30_f_o_ROUND_3_SUICIDE_TEXT;Хех, да надоело мне все сынок. Я бессмертная какая-то. Мне уже 102 года, а я пыталась самоубиться уже 6 раз и все жива.;Знаешь, сынок, со временем все становится неважно. Мне уже 102 года, а я все живу и живу... Не приходит смерть за мной.;;;;;;;;;;;;;;;;;;;;;
87;ID_30_ROUND_3_GG_ANSWER_RESULT = suicide;Не надо испытывать судьбу.;Ничего себе! Это ж целое столетие.;;;;;;;;;;;;;;;;;;;;;
88;ID_30_ROUND_3_GG_ANSWER_RESULT = next;В чем твой секрет?;Целых 102 года? Да вы отлично выглядите!;;;;;;;;;;;;;;;;;;;;;
89;ID_30_ROUND_3_GG_ANSWER_RESULT = next;Бог хранит тебя!;Видите, значит, сам Бог за вами приглядывает.;;;;;;;;;;;;;;;;;;;;;
90;ID_30_f_o_ROUND_3_SUICIDE_ON_DIE;Хочу я...;Вот и я думаю: пора.;;;;;;;;;;;;;;;;;;;;;
91;ID_30_f_o_ROUND_4_SUICIDE_TEXT;Ничего не слышу, что ты там шепчешь. Да и так знаю что говорят. Скучно мне, молодость уже не вернуть, зачем доживать не знаю.;Прости, не слышу я тебя, глухая. Да и так знаю, что ты можешь сказать. Но молодость-то давно прошла, а в старости особо радости и нет.;;;;;;;;;;;;;;;;;;;;;
92;ID_30_ROUND_4_GG_ANSWER_RESULT = next;Да люди после 100 только жить начинают.;Не в молодости счастье. Главное, бабуль, — сердцем не стареть.;;;;;;;;;;;;;;;;;;;;;
93;ID_30_ROUND_4_GG_ANSWER_RESULT = next;ЛЕДИ СЛЕЗАЙТЕ!;А ну-ка, бабуля, давайте, слезайте оттуда. Я вам помогу.;;;;;;;;;;;;;;;;;;;;;
94;ID_30_ROUND_4_GG_ANSWER_RESULT = suicide;А дети как же? А внуки?;Ну а как же дети, внуки? Неужели в них нет смысла?;;;;;;;;;;;;;;;;;;;;;
95;ID_30_f_o_ROUND_4_SUICIDE_ON_DIE;Нет у меня никого.;Нет у меня никого. Прощай.;;;;;;;;;;;;;;;;;;;;;
96;ID_30_f_o_ROUND_5_SUICIDE_TEXT;Хороший ты человек, конечно. Да вот поживешь, поймешь-что хочется покоя.;Ты хороший парень. Вот доживешь до моих лет и поймешь, что на старости лет хочется обрести покой...;;;;;;;;;;;;;;;;;;;;;
97;ID_30_ROUND_5_GG_ANSWER_RESULT = save;Покой придет сам.;Покой придет сам, в свое время.;;;;;;;;;;;;;;;;;;;;;
98;ID_30_ROUND_5_GG_ANSWER_RESULT = suicide;Так слезай, поделись мудростью.;Зато вы столько всего знаете! Вы наверняка сможете любому дать совет.;;;;;;;;;;;;;;;;;;;;;
99;ID_30_ROUND_5_GG_ANSWER_RESULT = save;Я думаю, что все-таки рановато еще умирать.;Прошу вас, не делайте этого.;;;;;;;;;;;;;;;;;;;;;
100;ID_30_f_o_ROUND_5_SUICIDE_ON_DIE;Надоело мне быть мудрой.;Надоело мне давать советы.;;;;;;;;;;;;;;;;;;;;;
101;ID_30_f_o_ROUND_5SUICIDE_ON_GO_HOME;Эх ладно. Раз стараешься - еще поживу.;Ну ладно, так и быть, поживу еще. Эк как ты разволновался за меня. Еще и захвораешь вдруг.;;;;;;;;;;;;;;;;;;;;;
102;ID_8_f_y_ROUND_1_SUICIDE_TEXT;Кто ты? Мне про тебя не говорили, не подходи.;Ты кто? Мне про тебя ничего не говорили. Лучше не подходи!;;;;;;;;;;;;;;;;;;;;;
103;ID_8_ROUND_1_GG_ANSWER_RESULT = suicide;Я тоже про тебя не знаю.;Хорошо, как скажешь.;;;;;;;;;;;;;;;;;;;;;
104;ID_8_ROUND_1_GG_ANSWER_RESULT = next;Кто не говорил?;А кто тебе должен был про меня сказать?;;;;;;;;;;;;;;;;;;;;;
105;ID_8_ROUND_1_GG_ANSWER_RESULT = next;Не делай глупостей;Не делай глупостей. Ты же еще такая молодая!;;;;;;;;;;;;;;;;;;;;;
106;ID_8_f_y_ROUND_1_SUICIDE_ON_DIE;ААААААААААААААААААА;Я свободна!;;;;;;;;;;;;;;;;;;;;;
107;ID_8_f_y_ROUND_2_SUICIDE_TEXT;Мой учитель не говорил о тебе, что ты здесь делаешь? Все идет не так... ;Учитель ничего про тебя не говорил. Тебя здесь быть не должно. Все идет не так, как мы планировали... ;;;;;;;;;;;;;;;;;;;;;
108;ID_8_ROUND_2_GG_ANSWER_RESULT = next;Так о чем ты вообще?;Успокойся. О чем ты вообще?;;;;;;;;;;;;;;;;;;;;;
109;ID_8_ROUND_2_GG_ANSWER_RESULT = next;Я говорил с твоим учителем, он изменил расписание, иди домой.;Я не знаю, про какого учителя ты говоришь, но с моста тебе точно стоит слезть.;;;;;;;;;;;;;;;;;;;;;
110;ID_8_ROUND_2_GG_ANSWER_RESULT = suicide;Учителя врут.;Возможно, твой учитель ошибся?;;;;;;;;;;;;;;;;;;;;;
111;ID_8_f_y_ROUND_2_SUICIDE_ON_DIE;МОЙ УЧИТЕЛЬ НЕ ВРЕТ!;Наш учитель никогда не ошибается!;;;;;;;;;;;;;;;;;;;;;
112;ID_8_f_y_ROUND_3_SUICIDE_TEXT;Учитель не врет! Революционное самоубийство... мы будем...мы будем...я не по...аа.. МЫ БУДЕМ СВОБОДНЫ! НЕТ БОЛИ!;Учитель послал меня сюда... Он сказал, что самоубийство дарует нам свободу. Это наша революция. Больше не будет боли и страданий!;;;;;;;;;;;;;;;;;;;;;
113;ID_8_ROUND_3_GG_ANSWER_RESULT = next;Что за...;Да что ты такое говоришь?;;;;;;;;;;;;;;;;;;;;;
114;ID_8_ROUND_3_GG_ANSWER_RESULT = suicide;Что бы ты там не думала, не делай этого!;Пожалуйста, не делай этого!;;;;;;;;;;;;;;;;;;;;;
115;ID_8_ROUND_3_GG_ANSWER_RESULT = next;Самоубийство не сделает тебя свободной. Поверь мне!;Разве самоубийство может сделать человека свободным?;;;;;;;;;;;;;;;;;;;;;
116;ID_8_f_y_ROUND_3_SUICIDE_ON_DIE;ААААААААААААААААААА;Да здравствует свобода!;;;;;;;;;;;;;;;;;;;;;
117;ID_8_f_y_ROUND_4_SUICIDE_TEXT;Уйди, пожалуйста, я должна сделать это, ты мне мешаешь, учитель будет не доволен, не мешай!;Прошу тебя, оставь меня одну. Если я этого не сделаю, учитель будет мной недоволен. Я никогда не обрету свободу!;;;;;;;;;;;;;;;;;;;;;
118;ID_8_ROUND_4_GG_ANSWER_RESULT = suicide;Да забудь ты уже про учителя!;По-моему, твой учитель - шарлотан.;;;;;;;;;;;;;;;;;;;;;
119;ID_8_ROUND_4_GG_ANSWER_RESULT = next;Это не шутки, ты умрешь!;Неужели ты не понимаешь? Внизу тебя ждет не свобода, а смерть!;;;;;;;;;;;;;;;;;;;;;
120;ID_8_ROUND_4_GG_ANSWER_RESULT = next;Слезай быстро!;Ты что, готова умереть ради свободы?;;;;;;;;;;;;;;;;;;;;;
121;ID_8_f_y_ROUND_4_SUICIDE_ON_DIE;УЧИТЕЛЬ, Я ВСЕ СДЕЛАЮ ПРАВИЛЬНО!;Нет! Учитель всегда прав.;;;;;;;;;;;;;;;;;;;;;
122;ID_8_f_y_ROUND_5_SUICIDE_TEXT;Я не хочу умирать...;Я... я не хочу умирать.;;;;;;;;;;;;;;;;;;;;;
123;ID_8_ROUND_5_GG_ANSWER_RESULT = suicide;Ну и не умирай?;Твой учитель промыл тебе мозги!;;;;;;;;;;;;;;;;;;;;;
124;ID_8_ROUND_5_GG_ANSWER_RESULT = save;Спускайся, все будет хорошо.;Пожалуйста, слезай оттуда. Так ты свободы не добьешься.;;;;;;;;;;;;;;;;;;;;;
125;ID_8_ROUND_5_GG_ANSWER_RESULT = save;Мы ничего не скажем учителю.;"Возможно, тебе не стоит слушать этого ""учителя""?";;;;;;;;;;;;;;;;;;;;;
126;ID_8_f_y_ROUND_5_SUICIDE_ON_DIE;УЧИТЕЛЬ, Я ВСЕ СДЕЛАЮ ПРАВИЛЬНО!;Не может быть! Учитель любит нас.;;;;;;;;;;;;;;;;;;;;;
127;ID_8_f_y_ROUND_5SUICIDE_ON_GO_HOME;Учитель...Я должен с ним поговорить.;Мне... мне нужно найти учителя и поговорить с ним.;;;;;;;;;;;;;;;;;;;;;
128;ID_35_m_a_ROUND_1_SUICIDE_TEXT;Как-то по-дурацки жизнь прошла...;Как-то по-дурацки жизнь прошла...;;;;;;;;;;;;;;;;;;;;;
129;ID_35_ROUND_1_GG_ANSWER_RESULT = next;Еще не прошла!;Разве она уже закончилась?;;;;;;;;;;;;;;;;;;;;;
130;ID_35_ROUND_1_GG_ANSWER_RESULT = next;О чем ты?;О чем ты?;;;;;;;;;;;;;;;;;;;;;
131;ID_35_ROUND_1_GG_ANSWER_RESULT = next;Продолжай.;Почему ты так говоришь?;;;;;;;;;;;;;;;;;;;;;
132;ID_35_m_a_ROUND_2_SUICIDE_TEXT;Вроде сделал все правильно. Отучился, пошел работать, завел жену, сделал детей. Есть свой дом. И вдруг: а для кого это все? Я хотел этого?;Мне казалось, что я все делал правильно: закончил престижный университет, нашел хорошую работу, женился на прекрасной девушке. У меня даже пара забавных сорванцов по дому бегает. И вдруг вопрос в голове: а зачем мне это все?;;;;;;;;;;;;;;;;;;;;;
133;ID_35_ROUND_2_GG_ANSWER_RESULT = next;Тебя же ждет дома семья!;Разве не в этом смысл жизни?;;;;;;;;;;;;;;;;;;;;;
134;ID_35_ROUND_2_GG_ANSWER_RESULT = suicide;Этой жизни многие завидуют.;Такой жизни многие позавидовать могут.;;;;;;;;;;;;;;;;;;;;;
135;ID_35_ROUND_2_GG_ANSWER_RESULT = next;Кризис среднего возраста?;Может, у тебя просто был тяжелый день?;;;;;;;;;;;;;;;;;;;;;
136;ID_35_m_a_ROUND_2_SUICIDE_ON_DIE;Я точно не завидую...;Я уж точно не из их числа...;;;;;;;;;;;;;;;;;;;;;
137;ID_35_m_a_ROUND_3_SUICIDE_TEXT;Семья, работа и дом - оковы, которые не позволяют мне хоть что-то сделать. Только умереть.;Может ты и прав... Вот только все эти вещи не дают мне ни минуты покоя. Я уже давно не занимался тем, что мне нравится. ;;;;;;;;;;;;;;;;;;;;;
138;ID_35_ROUND_3_GG_ANSWER_RESULT = next;Брось все. Лучше чем смерть!;Чем бы ты хотел заняться?;;;;;;;;;;;;;;;;;;;;;
139;ID_35_ROUND_3_GG_ANSWER_RESULT = suicide;Ты не обязан никому и ничему!;Да... От такой жизни я бы и сам в петлю полез.;;;;;;;;;;;;;;;;;;;;;
140;ID_35_ROUND_3_GG_ANSWER_RESULT = next;Хватит глупостей, иди к своей семье.;Не глупи. Тебя дома ждет любящая семья. ;;;;;;;;;;;;;;;;;;;;;
141;ID_35_m_a_ROUND_3_SUICIDE_ON_DIE;Слишком много давления...;Вот и я так считаю.;;;;;;;;;;;;;;;;;;;;;
142;ID_35_m_a_ROUND_4_SUICIDE_TEXT;Может моя жизнь и была скучна, но у меня есть деньги. Может я отдам тебе часть, а ты оставишь меня в покое?;"Это неважно. У меня на себя совсем не хватает времени. Зато у меня есть куча денег.
Может, я заплачу тебе и ты отсанешь от меня?";;;;;;;;;;;;;;;;;;;;;
143;ID_35_ROUND_4_GG_ANSWER_RESULT = next;Не глупи, давай лучше слезай.;Не говори ерунды, за деньги жизнь не купишь. ;;;;;;;;;;;;;;;;;;;;;
144;ID_35_ROUND_4_GG_ANSWER_RESULT = next;Я не беру взяток.;Ну уж нет, от меня не откупишься.;;;;;;;;;;;;;;;;;;;;;
145;ID_35_ROUND_4_GG_ANSWER_RESULT = ;Я согласен.;Вообще я не прочь немного разбогатеть.;;;;;;;;;;;;;;;;;;;;;
146;ID_35_m_a_ROUND_4_SUICIDE_ON_DIE;Бери.;А вот хрен тебе!;;;;;;;;;;;;;;;;;;;;;
147;ID_35_m_a_ROUND_5_SUICIDE_TEXT;Все равно все кончено. Что мне делать дома?;Все равно все конечно. Что мне делать в этой жизни?;;;;;;;;;;;;;;;;;;;;;
